node1,node2,correct_label,work_label
251,1597,0,0
251,1597,0,0
251,1597,0,0
251,1597,0,0
251,1597,0,0
251,1598,0,0
251,1598,0,0
251,1598,0,0
251,1598,0,0
251,1598,0,0
39,1274,1,0
39,1274,1,1
39,1274,1,1
39,1274,1,1
39,1274,1,0
2,1236,1,0
2,1236,1,1
2,1236,1,0
2,1236,1,1
2,1236,1,1
702,2063,0,0
702,2063,0,0
702,2063,0,0
702,2063,0,0
702,2063,0,0
934,2112,0,0
934,2112,0,0
934,2112,0,0
934,2112,0,0
934,2112,0,0
934,2113,0,0
934,2113,0,0
934,2113,0,0
934,2113,0,0
934,2113,0,0
197,1199,1,1
197,1199,1,1
197,1199,1,0
197,1199,1,0
197,1199,1,1
65,1242,0,0
65,1242,0,0
65,1242,0,0
65,1242,0,0
65,1242,0,0
65,1241,0,0
65,1241,0,0
65,1241,0,0
65,1241,0,0
65,1241,0,0
65,1240,0,0
65,1240,0,0
65,1240,0,0
65,1240,0,0
65,1240,0,0
695,1804,0,0
695,1804,0,0
695,1804,0,0
695,1804,0,0
695,1804,0,0
436,1108,0,0
436,1108,0,0
436,1108,0,0
436,1108,0,0
436,1108,0,0
695,1803,0,0
695,1803,0,0
695,1803,0,0
695,1803,0,0
695,1803,0,0
492,1818,1,0
492,1818,1,0
492,1818,1,0
492,1818,1,0
492,1818,1,0
478,1541,0,0
478,1541,0,0
478,1541,0,0
478,1541,0,0
478,1541,0,0
774,1889,0,0
774,1889,0,0
774,1889,0,0
774,1889,0,0
774,1889,0,0
436,1095,0,0
436,1095,0,0
436,1095,0,0
436,1095,0,0
436,1095,0,0
774,1890,1,1
774,1890,1,0
774,1890,1,0
774,1890,1,1
774,1890,1,1
481,1814,0,0
481,1814,0,0
481,1814,0,0
481,1814,0,0
481,1814,0,0
902,2042,1,0
902,2042,1,0
902,2042,1,0
902,2042,1,0
902,2042,1,0
355,1564,0,0
355,1564,0,0
355,1564,0,0
355,1564,0,0
355,1564,0,0
902,2043,0,0
902,2043,0,0
902,2043,0,0
902,2043,0,0
902,2043,0,0
254,1496,0,0
254,1496,0,0
254,1496,0,0
254,1496,0,0
254,1496,0,0
492,1743,0,0
492,1743,0,0
492,1743,0,0
492,1743,0,0
492,1743,0,0
254,1497,0,0
254,1497,0,0
254,1497,0,0
254,1497,0,0
254,1497,0,0
360,1141,0,0
360,1141,0,0
360,1141,0,0
360,1141,0,0
360,1141,0,0
902,2073,0,0
902,2073,0,0
902,2073,0,0
902,2073,0,0
902,2073,0,0
436,1173,0,0
436,1173,0,0
436,1173,0,0
436,1173,0,0
436,1173,0,0
902,2074,0,0
902,2074,0,0
902,2074,0,0
902,2074,0,0
902,2074,0,0
934,2069,0,0
934,2069,0,0
934,2069,0,0
934,2069,0,0
934,2069,0,0
360,1134,0,0
360,1134,0,0
360,1134,0,0
360,1134,0,0
360,1134,0,0
492,1744,1,0
492,1744,1,0
492,1744,1,0
492,1744,1,0
492,1744,1,0
360,1128,0,0
360,1128,0,0
360,1128,0,0
360,1128,0,0
360,1128,0,0
544,1840,1,1
544,1840,1,0
544,1840,1,0
544,1840,1,1
544,1840,1,1
644,1708,0,0
644,1708,0,0
644,1708,0,0
644,1708,0,0
644,1708,0,0
702,1947,1,1
702,1947,1,0
702,1947,1,0
702,1947,1,1
702,1947,1,1
759,1174,0,0
759,1174,0,0
759,1174,0,0
759,1174,0,0
759,1174,0,0
544,1841,0,0
544,1841,0,0
544,1841,0,0
544,1841,0,0
544,1841,0,0
251,1714,0,0
251,1714,0,0
251,1714,0,0
251,1714,0,0
251,1714,0,0
759,1172,1,1
759,1172,1,1
759,1172,1,1
759,1172,1,1
759,1172,1,1
453,1589,1,0
453,1589,1,0
453,1589,1,0
453,1589,1,0
453,1589,1,0
251,1715,0,0
251,1715,0,0
251,1715,0,0
251,1715,0,0
251,1715,0,0
251,1716,0,0
251,1716,0,0
251,1716,0,0
251,1716,0,0
251,1716,0,0
492,1956,0,0
492,1956,0,0
492,1956,0,0
492,1956,0,0
492,1956,0,0
251,1720,0,0
251,1720,0,0
251,1720,0,0
251,1720,0,0
251,1720,0,0
251,1723,0,0
251,1723,0,0
251,1723,0,0
251,1723,0,0
251,1723,0,0
668,1171,0,0
668,1171,0,0
668,1171,0,0
668,1171,0,0
668,1171,0,0
481,1873,0,0
481,1873,0,0
481,1873,0,0
481,1873,0,0
481,1873,0,0
668,1170,0,0
668,1170,0,0
668,1170,0,0
668,1170,0,0
668,1170,0,0
481,1874,1,1
481,1874,1,1
481,1874,1,1
481,1874,1,1
481,1874,1,1
481,1875,0,0
481,1875,0,0
481,1875,0,0
481,1875,0,0
481,1875,0,0
254,1528,0,0
254,1528,0,0
254,1528,0,0
254,1528,0,0
254,1528,0,0
811,1303,1,1
811,1303,1,0
811,1303,1,1
811,1303,1,1
811,1303,1,1
644,1720,0,0
644,1720,0,0
644,1720,0,0
644,1720,0,0
644,1720,0,0
644,1723,0,0
644,1723,0,0
644,1723,0,0
644,1723,0,0
644,1723,0,0
644,1716,1,1
644,1716,1,1
644,1716,1,0
644,1716,1,1
644,1716,1,1
631,1650,1,1
631,1650,1,0
631,1650,1,0
631,1650,1,1
631,1650,1,1
644,1715,0,0
644,1715,0,0
644,1715,0,0
644,1715,0,0
644,1715,0,0
644,1714,0,0
644,1714,0,0
644,1714,0,0
644,1714,0,0
644,1714,0,0
759,1141,0,0
759,1141,0,0
759,1141,0,0
759,1141,0,0
759,1141,0,0
52,1436,1,1
52,1436,1,1
52,1436,1,1
52,1436,1,1
52,1436,1,1
254,1541,1,1
254,1541,1,0
254,1541,1,0
254,1541,1,1
254,1541,1,1
759,1156,0,0
759,1156,0,0
759,1156,0,0
759,1156,0,0
759,1156,0,0
544,1799,0,0
544,1799,0,0
544,1799,0,0
544,1799,0,0
544,1799,0,0
544,1798,0,0
544,1798,0,0
544,1798,0,0
544,1798,0,0
544,1798,0,0
481,1928,0,0
481,1928,0,0
481,1928,0,0
481,1928,0,0
481,1928,0,0
759,1154,0,0
759,1154,0,0
759,1154,0,0
759,1154,0,0
759,1154,0,0
481,1926,0,0
481,1926,0,0
481,1926,0,0
481,1926,0,0
481,1926,0,0
319,1794,1,1
319,1794,1,1
319,1794,1,1
319,1794,1,1
319,1794,1,1
939,1648,1,1
939,1648,1,0
