id,pair_id,correct_label,similarity
1,2_3,1,1
2,9_8,1,1
3,12_11,1,1
4,33_34,1,1
5,35_36,1,1
6,37_41,1,1
7,39_40,1,1
8,44_43,1,1
9,46_43,1,1
10,46_44,1,1
11,47_43,1,1
12,47_44,1,1
13,47_46,1,1
14,48_43,1,1
15,48_44,1,1
16,48_46,1,1
17,48_47,1,1
18,50_43,1,1
19,50_44,1,1
20,50_46,1,1
21,50_47,1,1
22,50_48,1,1
23,52_43,1,1
24,52_44,1,1
25,52_46,1,1
26,52_47,1,1
27,52_48,1,1
28,52_50,1,1
29,55_45,1,1
30,57_45,1,1
31,57_55,1,1
32,57_60,1,1
33,57_63,1,1
34,58_51,1,1
35,59_43,1,1
36,59_44,1,1
37,59_46,1,1
38,59_47,1,1
39,59_48,1,1
40,59_50,1,1
41,59_52,1,1
42,60_45,1,1
43,60_55,1,1
44,61_43,1,1
45,61_44,1,1
46,61_46,1,1
47,61_47,1,1
48,61_48,1,1
49,61_50,1,1
50,61_52,1,1
51,61_59,1,1
52,62_43,1,1
53,62_44,1,1
54,62_46,1,1
55,62_47,1,1
56,62_48,1,1
57,62_50,1,1
58,62_52,1,1
59,62_59,1,1
60,62_61,1,1
61,63_45,1,1
62,63_55,1,1
63,63_60,1,1
64,64_51,1,1
65,64_58,1,1
66,72_89,1,1
67,72_95,1,1
68,72_99,1,1
69,73_97,1,1
70,75_72,1,1
71,75_89,1,1
72,75_95,1,1
73,75_99,1,1
74,76_100,1,1
75,77_87,1,1
76,77_101,1,1
77,78_104,1,1
78,79_77,1,1
79,79_87,1,1
80,79_101,1,1
81,80_77,1,1
82,80_79,1,1
83,80_87,1,1
84,80_101,1,1
85,81_77,1,1
86,81_79,1,1
87,81_80,1,1
88,81_87,1,1
89,81_101,1,1
90,82_98,1,1
91,83_77,1,1
92,83_79,1,1
93,83_80,1,1
94,83_81,1,1
95,83_87,1,1
96,83_101,1,1
97,84_72,1,1
98,84_75,1,1
99,84_89,1,1
100,84_95,1,1
101,84_99,1,1
102,89_95,1,1
103,89_99,1,1
104,91_86,1,1
105,93_76,1,1
106,93_100,1,1
107,96_85,1,1
108,99_95,1,1
109,101_87,1,1
110,106_108,1,1
111,106_109,1,1
112,106_114,1,1
113,107_127,1,1
114,107_137,1,1
115,109_108,1,1
116,110_116,1,1
117,110_118,1,1
118,110_119,1,1
119,110_123,1,1
120,110_124,1,1
121,110_126,1,1
122,110_129,1,1
123,110_130,1,1
124,110_133,1,1
125,110_134,1,1
126,111_110,1,1
127,111_116,1,1
128,111_118,1,1
129,111_119,1,1
130,111_123,1,1
131,111_124,1,1
132,111_126,1,1
133,111_129,1,1
134,111_130,1,1
135,111_133,1,1
136,111_134,1,1
137,112_106,1,1
138,112_108,1,1
139,112_109,1,1
140,112_113,1,1
141,112_114,1,1
142,113_106,1,1
143,113_108,1,1
144,113_109,1,1
145,113_114,1,1
146,114_108,1,1
147,114_109,1,1
148,116_118,1,1
149,116_119,1,1
150,116_123,1,1
151,116_124,1,1
152,116_126,1,1
153,116_129,1,1
154,119_118,1,1
155,122_106,1,1
156,122_108,1,1
157,122_109,1,1
158,122_112,1,1
159,122_113,1,1
160,122_114,1,1
161,122_125,1,1
162,122_131,1,1
163,122_135,1,1
164,123_118,1,1
165,123_119,1,1
166,123_124,1,1
167,124_118,1,1
168,124_119,1,1
169,125_106,1,1
170,125_108,1,1
171,125_109,1,1
172,125_112,1,1
173,125_113,1,1
174,125_114,1,1
175,125_131,1,1
176,125_135,1,1
177,126_118,1,1
178,126_119,1,1
179,126_123,1,1
180,126_124,1,1
181,128_121,1,1
182,128_132,1,1
183,129_118,1,1
184,129_119,1,1
185,129_123,1,1
186,129_124,1,1
187,129_126,1,1
188,130_116,1,1
189,130_118,1,1
190,130_119,1,1
191,130_123,1,1
192,130_124,1,1
