id,pair_id,correct_label,similarity
1,7_1295,1,1
2,27_1283,1,1
3,48_1161,1,1
4,145_1360,1,1
5,390_1695,1,1
6,673_1991,1,1
7,780_1737,1,1
8,802_1148,1,1
9,1003_1331,1,1
10,1049_1817,1,1
11,1079_1464,1,0.912281
12,219_1094,1,0.909091
13,398_1370,1,0.890909
14,978_1484,1,0.883333
15,994_1187,1,0.882353
16,761_1551,1,0.880952
17,259_1288,1,0.87234
18,319_1794,1,0.871795
19,617_1568,1,0.869565
20,354_1515,1,0.868421
21,269_1429,1,0.865169
22,372_1371,1,0.860759
23,663_1703,1,0.859649
24,49_1161,0,0.837838
25,283_1196,1,0.836735
26,1021_1895,1,0.836066
27,407_1569,1,0.833333
28,243_1366,1,0.830189
29,786_1517,1,0.829268
30,518_1487,1,0.824561
31,1070_1600,1,0.824561
32,973_1760,1,0.821918
33,403_1482,1,0.820896
34,873_1690,1,0.818182
35,1035_1545,1,0.818182
36,974_1449,1,0.814286
37,529_1791,1,0.807692
38,404_1186,1,0.803922
39,915_2086,1,0.803571
40,918_2089,1,0.803571
41,920_2090,1,0.8
42,921_2092,1,0.8
43,1058_2096,1,0.8
44,831_1601,1,0.797101
45,916_2087,1,0.796296
46,917_2088,1,0.796296
47,345_1192,1,0.791667
48,1046_1608,1,0.786517
49,363_1702,1,0.785714
50,406_1634,1,0.785714
51,413_1534,1,0.782609
52,228_1207,1,0.781818
53,1032_1532,1,0.779661
54,531_1791,0,0.773585
55,1023_1571,1,0.768116
56,58_1188,1,0.764706
57,532_1845,1,0.763636
58,798_1341,1,0.763158
59,173_1342,1,0.76
60,422_1477,1,0.757576
61,235_1577,1,0.756098
62,374_1263,1,0.755556
63,617_1569,0,0.755102
64,532_1791,0,0.754717
65,81_1157,1,0.75
66,531_1948,1,0.75
67,2_1236,1,0.741379
68,1022_1197,1,0.740741
69,478_1926,1,0.736842
70,483_2008,1,0.736842
71,271_1426,1,0.734177
72,482_1873,1,0.732143
73,113_1133,1,0.730769
74,372_1415,0,0.729412
75,115_1206,1,0.727273
76,322_1561,1,0.727273
77,481_1874,1,0.727273
78,484_1875,1,0.727273
79,530_1791,0,0.727273
80,659_1752,1,0.727273
81,660_1754,1,0.727273
82,661_1753,1,0.727273
83,662_1751,1,0.727273
84,407_1568,0,0.72549
85,48_1145,0,0.722222
86,49_1145,1,0.722222
87,268_1430,1,0.720588
88,971_1764,1,0.72
89,1081_1099,1,0.714286
90,1070_1370,0,0.709677
91,1013_2010,1,0.709091
92,195_1163,1,0.706897
93,555_1584,1,0.706667
94,1047_2044,1,0.705882
95,455_1531,1,0.704918
96,659_1703,0,0.704918
97,496_1711,1,0.701754
98,532_1844,0,0.701754
99,532_1948,0,0.701754
100,117_1107,1,0.701493
101,967_2150,1,0.7
102,534_1708,1,0.697368
103,469_1686,1,0.69697
104,270_1431,1,0.695652
105,260_1302,1,0.695122
106,403_1764,0,0.694444
107,562_1842,1,0.693878
108,781_1562,1,0.693333
109,296_1253,1,0.689655
110,529_1844,0,0.689655
111,529_1845,0,0.689655
112,529_1948,0,0.689655
113,531_1844,0,0.689655
114,531_1845,0,0.689655
115,234_1373,1,0.688889
116,186_1400,1,0.6875
117,290_1427,1,0.686747
118,66_1156,1,0.686275
119,136_1227,1,0.686275
120,194_1345,1,0.685714
121,496_1814,0,0.684211
122,1010_1665,1,0.68254
123,1059_2079,1,0.680851
124,969_1441,1,0.680556
125,498_1963,1,0.678571
126,530_1844,1,0.677966
127,530_1845,0,0.677966
128,530_1948,0,0.677966
129,1007_2173,1,0.676056
130,63_1141,1,0.673469
131,65_1154,1,0.673077
132,261_1347,1,0.673077
133,814_2152,1,0.673077
134,970_2126,1,0.673077
135,911_2054,1,0.672727
136,18_1927,1,0.672414
137,444_1663,1,0.671642
138,206_1364,1,0.669725
139,50_1184,1,0.666667
140,421_1249,0,0.666667
141,480_1962,1,0.666667
142,531_1961,0,0.666667
143,640_1463,1,0.666667
144,751_1910,1,0.666667
145,835_1254,1,0.666667
146,868_2083,1,0.666667
147,902_2042,1,0.666667
148,409_1544,1,0.661017
149,135_1091,1,0.660714
150,925_2041,1,0.660714
151,55_1146,1,0.66
152,51_1137,1,0.659574
153,559_1424,1,0.659091
154,797_1209,1,0.659091
155,519_1486,1,0.657895
156,720_1881,0,0.655738
157,720_1882,1,0.655738
158,720_1883,0,0.655738
159,624_1668,1,0.655172
160,71_2034,1,0.654545
161,323_1238,1,0.653846
162,534_1597,0,0.653846
163,534_1598,0,0.653846
164,660_1703,0,0.650794
165,661_1703,0,0.650794
166,662_1703,0,0.650794
167,767_1621,1,0.650794
168,478_1712,0,0.65
169,478_2008,0,0.65
170,483_1712,0,0.65
171,483_1926,0,0.65
172,532_1961,0,0.649123
173,266_1446,1,0.648649
174,116_1134,1,0.648148
175,177_1240,1,0.647059
176,216_1455,1,0.647059
177,763_1151,1,0.647059
178,398_1600,0,0.645161
179,631_1650,1,0.644737
180,480_1814,0,0.644068
181,901_1814,0,0.644068
182,105_1195,1,0.642857
183,575_1664,1,0.642857
184,306_1480,1,0.641791
185,479_1519,1,0.640625
186,535_1597,1,0.638554
187,595_1598,1,0.638554
188,777_2155,1,0.638298
189,264_2126,0,0.637931
190,481_1875,0,0.637931
191,484_1874,0,0.637931
192,529_1961,0,0.637931
193,643_1316,1,0.637931
194,267_1427,0,0.6375
195,658_1720,0,0.6375
196,109_1325,0,0.636364
197,763_1133,0,0.636364
198,1024_1566,1,0.636364
199,750_1720,1,0.635294
200,83_1150,1,0.634615
201,562_1843,0,0.634615
202,997_2122,1,0.634615
203,109_1584,0,0.631579
204,349_1490,1,0.631579
205,904_2043,1,0.630769
206,79_1162,1,0.630435
207,828_1087,1,0.630435
208,56_1184,0,0.629032
209,721_1881,1,0.629032
210,721_1882,0,0.629032
211,721_1883,0,0.629032
212,309_1427,0,0.627907
213,656_1586,1,0.627451
214,530_1961,0,0.627119
215,838_1601,0,0.626667
216,33_1132,1,0.625
217,109_1204,1,0.625
218,226_1162,0,0.625
219,799_1234,1,0.625
220,1060_1529,1,0.625
221,477_1926,0,0.622951
222,668_1448,1,0.622951
223,366_1355,1,0.62
224,630_1955,1,0.618421
225,345_1163,0,0.618182
226,692_1864,0,0.616667
227,692_1865,0,0.616667
228,692_1866,0,0.616667
229,692_1867,0,0.616667
230,692_1868,0,0.616667
