id,pair_id,correct_label,similarity
1,5_6,1,1
2,169_170,1,0.923077
3,87_88,1,0.909091
4,111_112,1,0.9
5,196_197,1,0.9
6,7_8,1,0.888889
7,63_64,1,0.888889
8,97_98,1,0.888889
9,103_104,1,0.888889
10,184_185,1,0.888889
11,192_193,1,0.888889
12,204_205,1,0.888889
13,208_209,1,0.888889
14,188_189,1,0.875
15,36_37,1,0.833333
16,67_68,1,0.833333
17,127_128,1,0.833333
18,133_134,1,0.833333
19,43_44,1,0.818182
20,71_72,1,0.818182
21,75_76,1,0.818182
22,131_132,1,0.818182
23,202_203,1,0.818182
24,9_10,1,0.8
25,27_28,1,0.8
26,47_48,1,0.8
27,59_60,1,0.8
28,85_86,1,0.8
29,89_90,1,0.8
30,165_166,1,0.8
31,200_201,1,0.777778
32,176_178,0,0.769231
33,137_138,1,0.75
34,155_156,1,0.75
35,157_158,1,0.75
36,181_182,1,0.75
37,214_215,1,0.75
38,1_2,1,0.733333
39,538_555,0,0.733333
40,23_24,1,0.727273
41,79_80,1,0.727273
42,171_172,1,0.727273
43,173_174,1,0.714286
44,230_270,0,0.714286
45,45_46,1,0.7
46,61_62,1,0.7
47,101_102,1,0.7
48,115_116,1,0.7
49,143_144,1,0.7
50,190_191,1,0.7
51,206_207,1,0.7
52,740_741,0,0.7
53,51_52,1,0.692308
54,65_66,1,0.692308
55,141_142,1,0.692308
56,161_162,1,0.692308
57,177_178,1,0.692308
58,288_363,0,0.6875
59,11_12,1,0.666667
60,29_30,1,0.666667
61,49_50,1,0.666667
62,73_74,1,0.666667
63,93_94,1,0.666667
64,99_100,1,0.666667
65,137_545,0,0.666667
66,153_154,1,0.666667
67,186_187,1,0.666667
68,198_199,1,0.666667
69,76_78,0,0.642857
70,3_4,1,0.636364
71,105_106,1,0.636364
72,167_168,1,0.636364
73,179_180,1,0.636364
74,81_307,0,0.636364
75,536_553,0,0.636364
76,536_772,0,0.636364
77,553_772,0,0.636364
78,55_459,0,0.625
79,21_22,1,0.615385
80,129_130,1,0.615385
81,138_545,0,0.615385
82,139_140,1,0.615385
83,175_177,0,0.615385
84,131_768,0,0.615385
85,25_26,1,0.6
86,63_302,0,0.6
87,293_423,0,0.6
88,496_508,0,0.6
89,613_832,0,0.6
90,643_652,0,0.6
91,726_756,0,0.6
92,77_78,1,0.588235
93,292_330,0,0.588235
94,109_110,1,0.583333
95,131_553,0,0.583333
96,132_772,0,0.583333
97,135_136,1,0.583333
98,137_536,0,0.583333
99,163_164,1,0.583333
100,294_361,0,0.583333
101,545_553,0,0.583333
102,179_817,0,0.583333
103,41_42,1,0.571429
104,107_108,1,0.571429
105,128_709,0,0.571429
106,175_176,1,0.571429
107,339_417,0,0.571429
108,138_771,0,0.571429
109,119_120,1,0.5625
110,123_124,1,0.5625
111,216_217,1,0.5625
112,350_364,0,0.5625
113,389_483,0,0.5625
114,349_399,0,0.5625
115,538_540,0,0.5625
116,540_555,0,0.5625
117,13_31,0,0.555556
118,13_239,0,0.555556
119,31_239,0,0.555556
120,313_316,0,0.555556
121,313_394,0,0.555556
122,306_450,0,0.555556
123,560_572,0,0.555556
124,34_35,1,0.545455
125,64_302,0,0.545455
126,79_327,0,0.545455
127,145_146,1,0.545455
128,212_213,1,0.545455
129,213_855,0,0.545455
130,101_379,0,0.545455
131,293_390,0,0.545455
132,390_423,0,0.545455
133,415_480,0,0.545455
134,571_595,0,0.545455
135,595_618,0,0.545455
136,21_237,0,0.538462
137,32_33,1,0.538462
138,48_90,0,0.538462
139,48_709,0,0.538462
140,53_54,1,0.538462
141,83_84,1,0.538462
142,90_709,0,0.538462
143,131_534,0,0.538462
144,131_545,0,0.538462
145,132_534,0,0.538462
146,137_534,0,0.538462
147,534_545,0,0.538462
148,576_602,0,0.538462
149,536_763,0,0.538462
150,553_768,0,0.538462
151,133_780,0,0.538462
152,534_780,0,0.538462
153,134_776,0,0.533333
154,151_152,1,0.533333
155,623_636,0,0.533333
156,770_776,0,0.533333
157,69_70,1,0.529412
158,353_402,0,0.529412
159,282_409,0,0.529412
160,451_460,0,0.529412
161,770_773,0,0.529412
162,43_361,0,0.5
163,43_383,0,0.5
164,44_709,0,0.5
165,62_64,0,0.5
166,48_66,0,0.5
167,66_90,0,0.5
168,66_709,0,0.5
169,48_70,0,0.5
170,70_90,0,0.5
171,70_709,0,0.5
172,75_388,0,0.5
173,75_78,0,0.5
174,95_96,1,0.5
175,116_749,0,0.5
176,116_760,0,0.5
177,129_361,0,0.5
178,129_383,0,0.5
179,134_770,0,0.5
180,138_534,0,0.5
181,141_544,0,0.5
182,142_544,0,0.5
183,147_148,1,0.5
184,159_160,1,0.5
185,146_168,0,0.5
186,176_177,0,0.5
187,176_817,0,0.5
188,199_566,0,0.5
189,210_211,1,0.5
190,224_266,0,0.5
191,29_235,0,0.5
192,289_453,0,0.5
193,49_308,0,0.5
194,315_324,0,0.5
195,326_383,0,0.5
196,378_382,0,0.5
197,361_383,0,0.5
198,392_393,0,0.5
199,378_397,0,0.5
200,382_397,0,0.5
201,392_398,0,0.5
202,282_408,0,0.5
203,408_409,0,0.5
204,378_436,0,0.5
205,377_472,0,0.5
206,361_478,0,0.5
207,411_485,0,0.5
208,517_529,0,0.5
209,549_778,0,0.5
210,556_776,0,0.5
211,562_592,0,0.5
212,568_608,0,0.5
213,569_638,0,0.5
214,571_618,0,0.5
215,579_603,0,0.5
216,188_607,0,0.5
217,560_607,0,0.5
218,572_607,0,0.5
219,186_626,0,0.5
220,86_729,0,0.5
221,749_760,0,0.5
222,137_763,0,0.5
223,530_766,0,0.5
224,132_768,0,0.5
225,534_768,0,0.5
226,545_768,0,0.5
227,536_770,0,0.5
228,131_773,0,0.5
229,132_773,0,0.5
230,306_330,0,0.473684
231,316_394,0,0.473684
232,282_377,0,0.473684
233,363_377,0,0.473684
234,377_409,0,0.473684
235,363_381,0,0.473684
236,332_446,0,0.473684
237,373_446,0,0.473684
238,91_350,0,0.470588
239,296_350,0,0.470588
240,350_402,0,0.470588
241,349_405,0,0.470588
242,350_407,0,0.470588
243,407_416,0,0.470588
244,349_437,0,0.470588
245,331_467,0,0.470588
246,134_556,0,0.470588
247,556_770,0,0.470588
248,773_776,0,0.470588
249,44_66,0,0.466667
250,66_70,0,0.466667
251,48_68,0,0.466667
252,68_90,0,0.466667
253,68_709,0,0.466667
254,76_82,0,0.466667
255,113_114,1,0.466667
256,48_128,0,0.466667
257,90_128,0,0.466667
258,134_780,0,0.466667
259,339_412,0,0.466667
260,412_417,0,0.466667
261,368_418,0,0.466667
262,428_444,0,0.466667
263,294_478,0,0.466667
264,131_531,0,0.466667
265,132_531,0,0.466667
266,531_534,0,0.466667
267,531_544,0,0.466667
268,531_779,0,0.466667
269,133_540,0,0.466667
270,137_540,0,0.466667
271,534_540,0,0.466667
272,540_545,0,0.466667
273,131_551,0,0.466667
274,132_551,0,0.466667
275,534_551,0,0.466667
276,76_729,0,0.466667
277,763_768,0,0.466667
278,131_770,0,0.466667
279,132_770,0,0.466667
280,137_770,0,0.466667
281,534_770,0,0.466667
282,17_18,1,0.461538
283,49_421,0,0.461538
284,57_58,1,0.461538
285,58_60,0,0.461538
286,67_415,0,0.461538
287,82_101,0,0.461538
288,62_90,0,0.461538
289,64_90,0,0.461538
290,99_438,0,0.461538
291,56_114,0,0.461538
292,131_536,0,0.461538
293,131_772,0,0.461538
294,132_536,0,0.461538
295,132_553,0,0.461538
296,133_536,0,0.461538
297,133_553,0,0.461538
298,133_772,0,0.461538
299,137_553,0,0.461538
300,137_772,0,0.461538
301,9_225,0,0.461538
302,10_225,0,0.461538
303,129_285,0,0.461538
304,285_361,0,0.461538
305,43_294,0,0.461538
